"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"546","Brett Pesce","N.J","D","37","631.1666666666666","1","6","4","2","7","46.67","45","2.22","2.36","87","65","31","9","1","5","6","3","3","0","0","5","20","12","10","56","54","0","0","-"
"547","Joel Hanley","CGY","D","58","761.9166666666666","0","7","1","6","7","31.82","34","0.00","1.42","99","62","29","4","1","8","38","12","9","2","1","5","45","8","34","137","63","0","0","-"
"548","Conor Sheary","NYR","L","42","544.1","1","6","3","3","7","77.78","50","2.00","6.1","108","82","70","30","3","9","10","5","5","0","0","9","28","14","17","33","23","9","10","47.37"
"549","Ryan Lindgren","SEA","D","58","887.3666666666667","2","5","2","3","7","21.88","35","5.71","2.41","123","71","41","6","3","10","50","18","15","2","1","10","53","11","30","62","65","0","0","-"
"550","Beck Malenstyn","BUF","L","61","564.8666666666667","4","3","3","0","7","53.85","50","8.00","5.79","90","70","50","30","1","12","24","8","7","0","1","10","27","7","204","87","43","3","4","42.86"
"551","Jesper Boqvist","FLA","C","54","531.5333333333333","3","4","1","3","7","50.00","42","7.14","5.02","86","67","35","18","2","7","16","8","8","0","0","14","32","4","106","54","24","26","47","35.62"
"552","Henri Jokiharju","BOS","D","35","555.4666666666667","0","7","4","3","7","23.33","25","0.00","1.12","81","48","18","0","3","9","12","6","6","0","0","3","38","6","20","60","26","0","0","-"
"553","Isac Lundeström","CBJ","C","47","490.01666666666665","3","4","1","3","7","41.18","31","9.68","2.79","52","42","24","11","1","5","2","1","1","0","0","4","26","3","22","41","16","106","92","53.54"
"554","Oskar Bäck","DAL","C","52","514.4","3","4","2","2","7","41.18","23","13.04","5.35","51","39","41","27","0","7","6","3","3","0","0","8","28","6","21","59","21","12","12","50.00"
"555","Jack St. Ivany","PIT","D","17","240.06666666666666","0","7","3","4","7","53.85","13","0.00","0.54","31","21","6","1","0","4","6","3","3","0","0","0","17","4","39","31","21","0","0","-"
"556","Cole Reinhardt","VGK","L","44","424.65","3","4","2","2","7","70.00","33","9.09","3.67","73","51","39","18","1","5","19","8","7","1","0","11","20","3","84","31","8","6","4","60.00"
"557","Jonathan Aspirot","BOS","D","41","618.65","2","5","1","4","7","19.44","23","8.70","1.18","71","46","13","1","0","10","35","13","10","3","0","7","32","6","63","88","48","0","0","-"
"558","Albert Johansson","DET","D","63","898.6166666666667","1","6","2","4","7","26.92","45","2.22","1.97","133","75","35","6","1","9","14","7","7","0","0","10","43","14","41","85","66","0","0","-"
"559","Joel Kiviranta","COL","L","31","269.45","2","5","2","3","7","70.00","25","8.00","3.09","43","33","26","12","2","5","6","3","3","0","0","3","10","3","43","35","8","2","2","50.00"
"560","Yan Kuznetsov","CGY","D","47","829.35","3","4","2","2","7","30.43","49","6.12","1.65","106","66","20","1","0","10","26","9","8","0","1","1","47","1","61","86","71","0","0","-"
"561","Colton Dach","CHI, EDM","C","54","574.4166666666666","2","5","3","2","7","63.64","48","4.17","5.88","106","83","60","25","4","19","47","15","11","3","1","14","24","13","191","61","25","22","39","36.07"
"562","Otto Stenberg","STL","C","18","218.56666666666666","1","6","3","3","7","87.50","14","7.14","2.38","36","28","25","11","1","4","0","0","0","0","0","0","7","2","32","14","10","4","4","50.00"
"563","Sam Dickinson","S.J","D","50","716.7","1","6","2","4","7","21.88","49","2.04","2.18","121","71","26","5","0","8","16","8","8","0","0","3","54","12","43","79","43","0","0","-"
"564","Jeff Petry","FLA","D","58","757.4666666666667","0","6","5","1","6","21.43","39","0.00","2.16","117","69","30","5","4","9","20","10","10","0","0","0","47","4","56","99","50","0","0","-"
"565","Zach Bogosian","MIN","D","30","416.4166666666667","2","4","3","1","6","35.29","23","8.70","0.78","56","36","17","3","1","5","12","6","6","0","0","2","16","8","26","24","26","0","1","0.00"
"566","Calle Jarnkrok","TOR","C","40","374.96666666666664","5","1","1","0","6","66.67","30","16.67","2.58","51","44","24","13","1","4","4","2","2","0","0","1","11","4","26","24","6","9","6","60.00"
"567","Nick Bjugstad","N.J, STL","C","42","424.8666666666667","5","1","1","0","6","75.00","55","9.09","5.46","98","78","54","25","0","16","27","11","10","1","0","10","14","3","83","22","18","125","125","50.00"
"568","Mike Reilly","CAR","D","29","404.4166666666667","0","6","3","3","6","33.33","38","0.00","1.28","93","57","20","1","1","4","12","6","6","0","0","5","19","3","13","33","24","0","0","-"
"569","Mattias Janmark","EDM","C","43","438.06666666666666","1","5","1","4","6","75.00","23","4.35","4.04","51","37","29","21","1","8","20","6","5","0","1","5","14","5","10","36","11","7","12","36.84"
