"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"140","Carter Verhaeghe","FLA","C","62","163.41666666666666","4","5","1","4","9","40.91","44","9.09","5","73","52","39","13","0","14","4","2","2","0","0","0","6","4","2","5","1","8","14","36.36"
"141","Andre Burakovsky","CHI","L","56","133.75","2","7","5","2","9","50.00","11","18.18","1.17","30","15","13","4","0","1","4","2","2","0","0","0","4","3","0","2","1","0","0","-"
"142","Alexander Wennberg","S.J","C","60","199.95","4","5","4","1","9","52.94","16","25.00","6.06","38","30","36","29","0","3","4","2","2","0","0","1","3","2","0","3","0","82","85","49.10"
"143","Brayden Point","T.B","C","42","161.81666666666666","5","4","1","3","9","39.13","31","16.13","7.59","54","48","49","29","0","8","0","0","0","0","0","0","5","0","1","1","0","41","39","51.25"
"144","Michael Bunting","NSH","L","61","113.76666666666667","5","4","3","1","9","60.00","16","31.25","3.11","34","29","25","14","0","5","0","0","0","0","0","0","5","0","1","2","0","1","4","20.00"
"145","Conor Garland","VAN","R","50","121.2","1","8","7","1","9","69.23","25","4.00","3.2","42","33","28","10","0","6","0","0","0","0","0","0","5","2","1","9","0","1","2","33.33"
"146","Matthew Tkachuk","FLA","L","16","62.81666666666667","4","5","3","2","9","90.00","19","21.05","5.12","34","28","28","19","0","5","2","1","1","0","0","1","8","0","0","0","0","0","1","0.00"
"147","Adam Fox","NYR","D","35","106.66666666666667","2","7","3","4","9","56.25","18","11.11","0.91","42","23","16","0","0","5","0","0","0","0","0","0","4","6","0","0","2","0","0","-"
"148","Eeli Tolvanen","SEA","R","60","118.25","5","4","1","3","9","64.29","24","20.83","3.4","49","35","25","8","0","4","4","2","2","0","0","0","5","1","0","7","0","0","0","-"
"149","Robert Thomas","STL","C","45","113.91666666666667","3","6","4","2","9","69.23","15","20.00","1.56","25","17","16","3","0","2","0","0","0","0","0","0","7","1","1","6","0","53","30","63.86"
"150","Brock Faber","MIN","D","63","76.91666666666667","0","9","5","4","9","90.00","11","0.00","0.46","19","14","4","0","0","2","2","1","1","0","0","0","4","2","1","0","1","0","0","-"
"151","Luke Hughes","N.J","D","53","104.61666666666666","1","8","3","5","9","69.23","14","7.14","1.19","40","17","18","2","0","2","2","1","1","0","0","2","9","1","0","3","1","0","0","-"
"152","Ryan Leonard","WSH","R","57","137.21666666666667","2","7","5","2","9","50.00","27","7.41","3.86","53","41","30","13","0","8","4","2","2","0","0","2","4","2","2","9","0","2","1","66.67"
