game_id,date,season,name,team,opp,score,scored,pp1,ixg_l10,hdcf_l10,sog_l10,atoi_l10,ga_g
2008020113,20081025,2008,Antti Miettinen,MIN,CBJ,9.984,0,True,0.529,0.6,3.4,20.2,3.71
2008020113,20081025,2008,Mikko Koivu,MIN,CBJ,6.966,0,True,0.231,0.4,3.2,21.6,3.71
2008020114,20081025,2008,Brenden Morrow,DAL,WSH,9.696,0,True,0.488,0.38,3.5,21.0,2.86
2008020114,20081025,2008,Brad Richards,DAL,WSH,5.111,0,False,0.159,0.12,2.75,20.4,2.86
2008020114,20081025,2008,Mike Modano,DAL,WSH,5.48,1,False,0.223,0.12,2.62,18.2,2.86
2008020114,20081025,2008,Loui Eriksson,DAL,WSH,5.967,1,True,0.228,0.25,1.88,17.5,2.86
2008020114,20081025,2008,Alexander Semin,WSH,DAL,8.796,1,True,0.437,0.57,3.43,19.0,4.0
2008020114,20081025,2008,Brooks Laich,WSH,DAL,5.33,0,True,0.253,0.43,1.57,17.5,4.0
2008020114,20081025,2008,Alex Ovechkin,WSH,DAL,9.748,0,True,0.438,0.29,5.29,24.6,4.0
2008020115,20081025,2008,Patrick Sharp,CHI,DET,8.842,0,True,0.383,0.57,2.86,20.4,2.86
2008020115,20081025,2008,Patrick Kane,CHI,DET,9.099,1,True,0.417,0.71,2.57,20.1,2.86
2008020115,20081025,2008,Marian Hossa,DET,CHI,5.623,1,False,0.283,0.0,4.29,17.6,2.29
2008020115,20081025,2008,Daniel Cleary,DET,CHI,8.755,0,True,0.464,1.0,2.86,14.5,2.29
2008020115,20081025,2008,Johan Franzen,DET,CHI,5.656,1,False,0.289,0.14,3.29,18.1,2.29
2008020115,20081025,2008,Tomas Holmstrom,DET,CHI,7.472,0,True,0.437,0.57,2.29,15.4,2.29
2008020115,20081025,2008,Henrik Zetterberg,DET,CHI,7.927,0,True,0.355,0.2,4.4,18.6,2.29
2008020116,20081025,2008,Cory Stillman,FLA,STL,7.167,0,True,0.274,0.14,2.29,17.9,3.29
2008020116,20081025,2008,Nathan Horton,FLA,STL,8.786,0,True,0.373,0.43,3.29,18.5,3.29
2008020116,20081025,2008,David Booth,FLA,STL,9.526,0,True,0.455,0.14,3.57,16.7,3.29
2008020116,20081025,2008,Brad Boyes,STL,FLA,5.451,1,False,0.207,0.0,1.86,20.1,3.0
2008020116,20081025,2008,Keith Tkachuk,STL,FLA,9.796,1,True,0.491,0.43,3.29,17.1,3.0
2008020117,20081025,2008,Ales Kotalik,BUF,COL,8.17,0,True,0.341,0.29,2.86,15.9,3.29
2008020117,20081025,2008,Thomas Vanek,BUF,COL,12.554,0,True,0.738,1.43,5.0,19.8,3.29
2008020117,20081025,2008,Drew Stafford,BUF,COL,5.401,0,False,0.204,0.14,3.0,15.6,3.29
2008020117,20081025,2008,Jason Pominville,BUF,COL,5.221,0,False,0.138,0.0,2.29,21.2,3.29
2008020117,20081025,2008,Milan Hejduk,COL,BUF,9.416,0,True,0.458,0.86,4.14,21.0,1.71
2008020117,20081025,2008,Ryan Smyth,COL,BUF,7.897,0,True,0.344,0.29,3.29,20.7,1.71
2008020117,20081025,2008,Joe Sakic,COL,BUF,7.667,0,True,0.356,0.14,4.0,20.8,1.71
2008020117,20081025,2008,Paul Stastny,COL,BUF,5.841,0,False,0.317,0.43,2.57,21.4,1.71
2008020118,20081025,2008,Shawn Horcoff,EDM,VAN,9.168,0,True,0.386,0.33,3.33,20.0,3.57
2008020118,20081025,2008,Daniel Sedin,VAN,EDM,5.605,0,True,0.28,0.29,2.71,18.7,2.67
2008020119,20081025,2008,Shane Doan,ARI,CGY,11.188,0,True,0.602,1.0,3.33,19.8,3.71
2008020119,20081025,2008,Peter Mueller,ARI,CGY,5.073,0,False,0.169,0.17,2.5,17.7,3.71
2008020119,20081025,2008,Mikkel Boedker,ARI,CGY,7.32,0,True,0.258,0.17,2.5,17.0,3.71
2008020119,20081025,2008,Michael Cammalleri,CGY,ARI,6.149,0,False,0.286,0.14,2.43,17.3,3.0
2008020119,20081025,2008,Todd Bertuzzi,CGY,ARI,9.277,1,True,0.426,0.57,2.71,21.1,3.0
2008020119,20081025,2008,Jarome Iginla,CGY,ARI,9.371,1,True,0.376,0.14,4.0,22.4,3.0
2008020120,20081027,2008,Ales Kotalik,BUF,OTT,8.344,0,True,0.313,0.25,3.0,16.1,3.12
2008020120,20081027,2008,Thomas Vanek,BUF,OTT,11.808,0,True,0.676,1.25,4.88,20.0,3.12
