game_id,date,name,team,opp,score,cat,scored,ixg_l10,hdcf_l10,sog_l10,atoi_l10
2008020195,20081107,Corey Perry,ANA,DAL,7.84,JOUABLE,0,0.413,0.1,3.8,17.9
2008020195,20081107,Ryan Getzlaf,ANA,DAL,8.87,JOUABLE,0,0.52,0.7,3.2,19.1
2008020195,20081107,Brenden Morrow,DAL,ANA,8.37,JOUABLE,0,0.437,0.3,3.6,21.1
2008020197,20081108,Alex Kovalev,MTL,TOR,8.37,JOUABLE,0,0.431,0.5,3.3,20.0
2008020197,20081108,Tomas Plekanec,MTL,TOR,8.11,JOUABLE,1,0.385,0.5,3.3,18.7
2008020198,20081108,Sidney Crosby,PIT,NYI,9.11,JOUABLE,0,0.502,0.6,3.4,21.3
2008020198,20081108,Evgeni Malkin,PIT,NYI,9.34,JOUABLE,0,0.437,0.3,4.4,21.7
2008020198,20081108,Miroslav Satan,PIT,NYI,8.11,JOUABLE,0,0.474,0.6,2.5,17.6
2008020199,20081108,Jeff Carter,PHI,TBL,7.56,JOUABLE,0,0.334,0.1,4.1,21.4
2008020199,20081108,Vincent Lecavalier,TBL,PHI,8.37,JOUABLE,0,0.398,0.4,4.2,19.6
2008020201,20081108,Henrik Zetterberg,DET,NJD,8.37,JOUABLE,0,0.456,0.4,4.1,19.9
2008020201,20081108,Zach Parise,NJD,DET,8.87,JOUABLE,1,0.406,0.5,3.6,19.9
2008020203,20081108,Milan Hejduk,COL,NSH,9.11,JOUABLE,0,0.319,0.4,2.6,20.9
2008020203,20081108,Ryan Smyth,COL,NSH,8.87,JOUABLE,0,0.313,0.3,2.5,20.7
2008020203,20081108,Paul Stastny,COL,NSH,8.11,JOUABLE,0,0.316,0.5,2.4,21.3
2008020204,20081108,Shane Doan,ARI,FLA,9.11,JOUABLE,0,0.451,0.6,3.2,20.7
2008020206,20081108,Brenden Morrow,DAL,SJS,7.84,JOUABLE,0,0.372,0.2,3.5,21.4
2008020206,20081108,Joe Pavelski,SJS,DAL,9.34,JOUABLE,0,0.484,1.0,3.7,19.6
2008020206,20081108,Ryane Clowe,SJS,DAL,8.63,JOUABLE,0,0.542,0.9,4.2,15.6
2008020206,20081108,Patrick Marleau,SJS,DAL,9.55,SAFE,1,0.405,0.5,3.8,22.0
2008020207,20081108,Dustin Brown,LAK,STL,7.84,JOUABLE,1,0.492,0.3,4.6,20.9
2008020208,20081109,Ray Whitney,CAR,ATL,7.84,JOUABLE,1,0.252,0.2,3.0,19.1
2008020208,20081109,Eric Staal,CAR,ATL,11.05,ELITE,0,0.487,0.6,4.3,22.4
2008020209,20081109,Shawn Horcoff,EDM,NJD,7.84,JOUABLE,0,0.388,0.4,3.3,21.2
