game_id,date,name,team,opp,sog_score,hit_sog,actual_sog,pp1,is_home,sog_l10,atoi_l10,ixg_l10,hdcf_l10,season_g,sa_g,sog_x_atoi
2008020131,20081028,David Krejci,BOS,VAN,1.5,0,0,0,0,2.22,17.5,0.1966,0.33,0.333,30.2,38.97
2008020131,20081028,Patrice Bergeron,BOS,VAN,5.5,0,1,1,0,3.22,19.3,0.3331,0.33,0.111,30.2,62.25
2008020131,20081028,Phil Kessel,BOS,VAN,6.5,1,4,1,0,3.67,18.3,0.3294,0.33,0.667,30.2,66.92
2008020131,20081028,Marco Sturm,BOS,VAN,2.0,0,0,0,0,2.78,17.7,0.2429,0.22,0.111,30.2,49.12
2008020131,20081028,Mason Raymond,VAN,BOS,4.25,1,5,1,1,2.62,16.3,0.2571,0.12,0.375,30.4,42.7
2008020131,20081028,Daniel Sedin,VAN,BOS,3.25,0,2,0,1,2.62,18.8,0.2549,0.25,0.25,30.4,49.25
2008020131,20081028,Ryan Kesler,VAN,BOS,0.25,1,4,0,1,1.62,17.7,0.1593,0.12,0.375,30.4,28.74
2008020131,20081028,Henrik Sedin,VAN,BOS,0.75,0,2,0,1,1.62,19.1,0.146,0.0,0.25,30.4,31.02
2008020132,20081028,Ruslan Fedotenko,PIT,SJS,1.5,0,1,0,0,2.56,16.5,0.2346,0.11,0.111,24.3,42.21
2008020132,20081028,Sidney Crosby,PIT,SJS,8.5,0,0,1,0,4.0,22.6,0.4272,0.44,0.333,24.3,90.39
2008020132,20081028,Pascal Dupuis,PIT,SJS,1.0,0,1,0,0,2.11,16.9,0.2324,0.33,0.222,24.3,35.61
2008020132,20081028,Evgeni Malkin,PIT,SJS,7.5,0,2,1,0,3.56,22.2,0.3602,0.22,0.333,24.3,78.92
2008020132,20081028,Miroslav Satan,PIT,SJS,1.5,0,1,1,0,1.89,17.9,0.2841,0.22,0.444,24.3,33.84
2008020132,20081028,Jonathan Cheechoo,SJS,PIT,2.75,1,4,0,1,2.44,17.2,0.267,0.11,0.444,33.7,42.13
2008020132,20081028,Milan Michalek,SJS,PIT,2.25,1,4,0,1,2.0,17.1,0.2344,0.29,0.143,33.7,34.29
