game_id,date,season,name,team,opp,qs_v10,scored,pp1,is_home,is_b2b,opp_is_b2b,ixg_l10,hdcf_l10,sog_l10,atoi_l10,season_g,ga_g,hdca_g,l3_goals,l5_goals,l3_scored,l5_scored,l10_goals,l10_scored,consec_goals,luck_factor
2008020082,20081021,2008,Marco Sturm,BOS,BUF,2.776,0,0,0,1,0,0.2276,0.4,2.0,17.9,0.2,1.4,1.4,1.0,1.0,1,1,1.0,1,0,0.879
2008020082,20081021,2008,Thomas Vanek,BUF,BOS,11.542,0,1,1,0,1,0.9748,2.0,6.4,20.3,1.4,2.8,2.8,4.0,7.0,3,5,7.0,5,5,1.436
2008020082,20081021,2008,Jason Pominville,BUF,BOS,5.374,0,0,1,0,1,0.1388,0.0,2.0,21.3,0.4,2.8,2.8,1.0,2.0,1,2,2.0,2,1,2.882
2008020083,20081021,2008,Nik Antropov,TOR,ANA,8.873,1,1,1,0,0,0.3792,0.4,2.2,16.6,0.2,3.33,2.0,1.0,1.0,1,1,1.0,1,1,0.527
2008020083,20081021,2008,Niklas Hagman,TOR,ANA,9.549,0,1,1,0,0,0.241,0.0,3.6,18.8,0.2,3.33,2.0,1.0,1.0,1,1,1.0,1,0,0.83
2008020083,20081021,2008,Jason Blake,TOR,ANA,10.834,0,1,1,0,0,0.445,0.6,4.8,19.4,0.2,3.33,2.0,0.0,1.0,0,1,1.0,1,0,0.449
2008020084,20081021,2008,Rick Nash,CBJ,VAN,11.301,1,1,1,0,0,0.4032,0.2,5.6,22.5,0.8,3.5,3.17,3.0,4.0,2,3,4.0,3,2,1.984
2008020084,20081021,2008,Kristian Huselius,CBJ,VAN,5.127,1,0,1,0,0,0.2354,0.2,2.4,19.9,0.4,3.5,3.17,1.0,2.0,1,2,2.0,2,0,1.699
2008020084,20081021,2008,Jason Chimera,CBJ,VAN,7.281,1,1,1,0,0,0.2428,0.4,2.0,16.5,0.4,3.5,3.17,2.0,2.0,2,2,2.0,2,2,1.647
2008020084,20081021,2008,Daniel Sedin,VAN,CBJ,6.719,0,1,0,0,0,0.2862,0.33,2.33,18.5,0.333,4.2,2.8,0.0,2.0,0,1,2.0,1,0,1.165
2008020084,20081021,2008,Ryan Kesler,VAN,CBJ,3.419,0,0,0,0,0,0.1968,0.17,1.83,17.2,0.5,4.2,2.8,2.0,3.0,2,3,3.0,3,0,2.54
2008020084,20081021,2008,Henrik Sedin,VAN,CBJ,3.715,0,0,0,0,0,0.1787,0.0,1.67,18.6,0.333,4.2,2.8,1.0,1.0,1,1,2.0,2,1,1.866
2008020085,20081021,2008,Vyacheslav Kozlov,ATL,TBL,3.166,0,0,0,0,0,0.138,0.0,1.0,16.4,0.4,2.4,1.8,0.0,2.0,0,2,2.0,2,0,2.899
2008020085,20081021,2008,Ilya Kovalchuk,ATL,TBL,4.451,0,0,0,0,0,0.193,0.0,2.6,21.7,0.4,2.4,1.8,2.0,2.0,2,2,2.0,2,1,2.073
2008020085,20081021,2008,Bryan Little,ATL,TBL,4.249,0,1,0,0,0,0.273,0.0,2.6,17.2,0.8,2.4,1.8,2.0,4.0,2,3,4.0,3,1,2.93
2008020085,20081021,2008,Todd White,ATL,TBL,3.287,1,0,0,0,0,0.166,0.0,1.8,18.2,0.2,2.4,1.8,0.0,1.0,0,1,1.0,1,0,1.205
2008020085,20081021,2008,Ryan Malone,TBL,ATL,6.719,0,1,1,0,0,0.2596,0.6,1.6,16.4,0.2,2.8,2.0,1.0,1.0,1,1,1.0,1,0,0.77
2008020085,20081021,2008,Martin St. Louis,TBL,ATL,4.891,0,0,1,0,0,0.1044,0.0,1.0,22.5,0.2,2.8,2.0,0.0,1.0,0,1,1.0,1,0,1.916
2008020085,20081021,2008,Vinny Prospal,TBL,ATL,9.109,1,1,1,0,0,0.3362,0.2,2.8,19.0,0.2,2.8,2.0,1.0,1.0,1,1,1.0,1,0,0.595
2008020085,20081021,2008,Vincent Lecavalier,TBL,ATL,10.945,1,1,1,0,0,0.3926,0.2,4.8,20.3,0.4,2.8,2.0,2.0,2.0,2,2,2.0,2,0,1.019
2008020086,20081021,2008,Rene Bourque,CGY,WSH,7.56,0,0,1,0,0,0.357,0.4,2.6,17.4,0.2,3.2,2.6,0.0,1.0,0,1,1.0,1,0,0.56
2008020086,20081021,2008,Daymond Langkow,CGY,WSH,11.047,0,1,1,0,0,0.4554,0.4,4.0,19.7,0.2,3.2,2.6,1.0,1.0,1,1,1.0,1,1,0.439
2008020086,20081021,2008,Michael Cammalleri,CGY,WSH,6.44,0,0,1,0,0,0.2728,0.0,2.8,17.1,0.2,3.2,2.6,0.0,1.0,0,1,1.0,1,0,0.733
2008020086,20081021,2008,Todd Bertuzzi,CGY,WSH,11.301,0,1,1,0,0,0.4878,0.8,2.6,20.6,1.0,3.2,2.6,4.0,5.0,3,4,5.0,4,4,2.05
2008020086,20081021,2008,Jarome Iginla,CGY,WSH,10.713,1,1,1,0,0,0.3594,0.0,4.0,22.0,0.2,3.2,2.6,1.0,1.0,1,1,1.0,1,0,0.556
2008020086,20081021,2008,Alexander Semin,WSH,CGY,9.941,0,1,0,0,0,0.3868,0.4,4.0,18.3,1.2,4.4,2.8,5.0,6.0,3,4,6.0,4,3,3.102
2008020086,20081021,2008,Brooks Laich,WSH,CGY,3.166,0,0,0,0,0,0.1614,0.4,0.8,16.6,0.2,4.4,2.8,0.0,1.0,0,1,1.0,1,0,1.239
2008020086,20081021,2008,Alex Ovechkin,WSH,CGY,11.433,0,1,0,0,0,0.45,0.2,5.2,25.1,0.4,4.4,2.8,0.0,2.0,0,1,2.0,1,0,0.889
2008020087,20081022,2008,Cory Stillman,FLA,OTT,9.109,1,1,0,0,0,0.2934,0.2,2.4,18.8,0.4,3.0,1.8,1.0,2.0,1,2,2.0,2,0,1.363
2008020087,20081022,2008,Nathan Horton,FLA,OTT,10.581,1,1,0,0,0,0.4028,0.4,3.2,19.7,0.2,3.0,1.8,0.0,1.0,0,1,1.0,1,0,0.497
2008020087,20081022,2008,David Booth,FLA,OTT,10.945,0,1,0,0,0,0.4922,0.2,3.6,16.7,0.6,3.0,1.8,0.0,3.0,0,2,3.0,2,0,1.219
2008020087,20081022,2008,Stephen Weiss,FLA,OTT,4.451,0,0,0,0,0,0.0862,0.0,1.0,17.1,0.2,3.0,1.8,0.0,1.0,0,1,1.0,1,0,2.32
2008020087,20081022,2008,Antoine Vermette,OTT,FLA,9.941,0,1,1,0,0,0.3376,0.4,3.0,18.5,0.2,3.4,3.0,0.0,1.0,0,1,1.0,1,0,0.592
